Date,Open,High,Low,Close,Change,%Change,Volume
3/18/13,155.7,155.93,155,155.38,1.38,0.90%,9303000
3/19/13,155.22,156.34,155.1,156.08,0.7,0.45%,11027600
3/20/13,155.53,155.83,154.88,155.37,-0.71,-0.45%,8221900
3/21/13,156.17,156.43,155.88,156.25,0.88,0.57%,4992500
3/22/13,155.45,155.99,155.42,155.55,-0.7,-0.45%,4746300
3/25/13,154.71,155.57,154.36,155.24,-0.31,-0.20%,6820500
3/26/13,154.47,154.91,154.28,154.72,-0.52,-0.33%,7389000
3/27/13,154.67,155.62,154.51,155.36,0.64,0.41%,6718500
3/28/13,154.5,154.8,154.22,154.47,-0.89,-0.57%,6851500
4/1/13,154.57,154.93,154.3,154.67,0.2,0.13%,4289000
4/2/13,153.09,153.31,152.26,152.43,-2.24,-1.45%,9398800
4/3/13,152.02,152.53,149.92,150.73,-1.7,-1.12%,15740700
4/4/13,149.65,150.6,149.44,150.29,-0.44,-0.29%,12429800
4/5/13,151.54,152.96,151.07,152.81,2.52,1.68%,14491900
4/8/13,152.39,152.59,151.6,152.16,-0.65,-0.43%,6246800
4/9/13,152.32,153.85,152.28,153.34,1.18,0.78%,7047100
4/10/13,152.67,152.71,150.58,150.75,-2.59,-1.69%,18515600
4/11/13,150.76,151.71,150.63,151.05,0.3,0.20%,8063100
4/12/13,148.65,148.85,143.43,143.95,-7.1,-4.70%,55601700
4/15/13,136,136.75,130.51,131.31,-12.64,-8.78%,93804096
4/16/13,134.89,135.11,131.76,132.8,1.49,1.13%,45650700
4/17/13,133.81,134.95,132.32,132.87,0.07,0.05%,25444000
4/18/13,134.12,135.31,133.62,134.3,1.43,1.08%,20044000
4/19/13,136,136.02,134.6,135.47,1.17,0.87%,15666300
4/22/13,138.15,138.27,137.22,137.9,2.43,1.79%,16572800
4/23/13,137.22,137.24,135.85,136.88,-1.02,-0.74%,14650600
4/24/13,138.09,138.55,137.45,138.37,1.49,1.09%,10372500
4/25/13,140,142.08,139.79,141.63,3.26,2.36%,18895300
4/26/13,142.3,143.43,140.04,140.91,-0.72,-0.51%,19312900
4/29/13,142.09,142.66,141.49,142.3,1.39,0.99%,11004700
4/30/13,142.27,142.83,141.55,142.77,0.47,0.33%,11287200
5/1/13,140.59,141.55,139.3,141.11,-1.66,-1.16%,13938200
5/2/13,142,142.47,141.64,141.92,0.81,0.57%,11504200
5/3/13,141.7,142.71,141.4,142.09,0.17,0.12%,11671900
5/6/13,142.33,142.47,141.63,142.15,0.06,0.04%,7734000
5/7/13,140.38,140.64,139.37,140.38,-1.77,-1.25%,13630000
5/8/13,141.78,142.81,141.49,142.46,2.08,1.48%,11163000
5/9/13,141.33,142.36,140.51,140.81,-1.65,-1.16%,8265200
5/10/13,138.22,139.75,137.26,139.6,-1.21,-0.86%,14657700
5/13/13,138.46,138.97,138.16,138.43,-1.17,-0.84%,6719300
5/14/13,137.95,139.16,137.64,137.81,-0.62,-0.45%,9897100
5/15/13,136.59,136.98,134.23,134.63,-3.18,-2.31%,19062900
5/16/13,133.18,134.48,133,134.09,-0.54,-0.40%,12761900
5/17/13,133.17,133.48,131.02,131.07,-3.02,-2.25%,20349700
5/20/13,130.88,135.32,130.85,135.12,4.05,3.09%,21593900
5/21/13,132.17,133.65,131.45,132.88,-2.24,-1.66%,14542400
5/22/13,134.18,136.77,130.95,131.94,-0.94,-0.71%,25982300
5/23/13,134.51,134.84,133.12,134.61,2.67,2.02%,10272700
5/24/13,134.11,134.51,133.64,133.76,-0.85,-0.63%,5522900
5/28/13,133.68,135.57,132.8,133.49,-0.27,-0.20%,12466600
5/29/13,134.09,134.91,133.64,134.83,1.34,1.00%,8765100
5/30/13,136.67,137.11,136.26,136.7,1.87,1.39%,8612000
5/31/13,135.71,136.05,133.89,133.92,-2.78,-2.03%,9787300
6/3/13,134.77,136.98,134.43,136.51,2.59,1.93%,9176600
6/4/13,135.21,135.44,134.27,135.23,-1.28,-0.94%,5506200
6/5/13,135.47,136.37,135.01,135.52,0.29,0.21%,7444900
6/6/13,135.39,137.62,134.98,136.53,1.01,0.75%,9848300
6/7/13,134.11,134.62,133.18,133.28,-3.25,-2.38%,11057700
6/10/13,133.3,134.28,132.99,133.94,0.66,0.50%,6142700
6/11/13,132.31,133.51,132.25,133.25,-0.69,-0.52%,7201200
6/12/13,132.95,134.83,132.83,134.25,1,0.75%,6550500
6/13/13,133.31,134.2,132.82,133.74,-0.51,-0.38%,7164700
6/14/13,134,134.6,133.88,134.43,0.69,0.52%,4279300
6/17/13,133.89,134.06,133.52,133.77,-0.66,-0.49%,4077100
6/18/13,132.72,132.96,131.53,132.13,-1.64,-1.23%,7381800
6/19/13,132.58,133.15,130.38,130.59,-1.54,-1.17%,13017700
6/20/13,125.22,126.38,123.33,123.6,-6.99,-5.35%,28872000
6/21/13,125.16,125.57,124.46,125.05,1.45,1.17%,16600100
6/24/13,124.31,124.7,123.31,123.93,-1.12,-0.90%,12751700
6/25/13,123.65,123.9,122.88,123.47,-0.46,-0.37%,9373400
6/26/13,119.88,119.9,118.06,118.28,-5.19,-4.20%,24748700
6/27/13,119.1,119.51,115.65,115.94,-2.34,-1.98%,30001800
6/28/13,115.22,119.33,114.68,119.11,3.17,2.73%,32986500
7/1/13,119.94,121.95,119.38,121.13,2.02,1.70%,15952400
7/2/13,121.34,121.47,119.78,120.05,-1.08,-0.89%,10553400
7/3/13,120.69,121.77,120.54,120.74,0.69,0.57%,6750200
7/5/13,118.08,118.18,116.74,118.09,-2.65,-2.19%,11593300
7/8/13,119.09,119.66,118.93,119.51,1.42,1.20%,8654700
7/9/13,120.84,121.51,120.05,120.62,1.11,0.93%,8203000
7/10/13,121.15,122.35,120.59,120.95,0.33,0.27%,14697000
7/11/13,124.26,124.36,123.47,124.24,3.29,2.72%,11282100
7/12/13,123.52,124.3,123.32,124.13,-0.11,-0.09%,6584000
7/15/13,124.05,124.39,123.84,124.18,0.05,0.04%,4134800
7/16/13,124.76,125.21,124.33,124.89,0.71,0.57%,5579600
7/17/13,125.04,125.7,122.73,123.32,-1.57,-1.26%,10887000
7/18/13,124.11,124.52,123.78,124.01,0.69,0.56%,6152000
7/19/13,124.89,125.42,124.65,125.11,1.1,0.89%,5768200
7/22/13,127.65,129.46,127.59,128.84,3.73,2.98%,10858200
7/23/13,128.7,130.14,128.35,129.71,0.87,0.68%,8826000
7/24/13,129.17,129.4,126.87,127.48,-2.23,-1.72%,9979000
7/25/13,127.7,128.87,127.64,128.67,1.19,0.93%,4725100
7/26/13,128.11,128.97,126.78,128.78,0.11,0.09%,6149300
7/29/13,128.45,128.78,128.25,128.47,-0.31,-0.24%,3558000
7/30/13,127.95,128.31,127.22,128.12,-0.35,-0.27%,4489200
7/31/13,127.76,128.92,126.13,127.96,-0.16,-0.12%,16016200
8/1/13,127.84,127.89,126.33,126.61,-1.35,-1.06%,10564200
8/2/13,126.74,127.25,126.32,126.36,-0.25,-0.20%,6466200
8/5/13,126.51,126.64,125.34,125.7,-0.66,-0.52%,4007000
8/6/13,124.33,124.55,123.55,123.97,-1.73,-1.38%,6021400
8/7/13,124,124.6,123.85,124.15,0.18,0.15%,5306300
8/8/13,124.78,126.99,124.77,126.86,2.71,2.18%,8661200
8/9/13,126.51,127.27,126.3,126.86,0,0.00%,6194000
8/12/13,129.57,129.71,128.88,129.13,2.27,1.79%,7422500
8/13/13,128.49,128.65,127.38,127.74,-1.39,-1.08%,7339500
8/14/13,127.66,129.07,127.57,129,1.26,0.99%,8713100
8/15/13,128.06,132.36,127.98,131.69,2.69,2.09%,17226200
8/16/13,132.56,133.27,131.39,132.58,0.89,0.68%,14447000
8/19/13,132.33,132.5,131.59,132.01,-0.57,-0.43%,8120300
8/20/13,132.03,133.13,132.02,132.45,0.44,0.33%,7809000
8/21/13,131.74,133.23,131.51,132.07,-0.38,-0.29%,10726600
8/22/13,132.56,133.46,132.27,132.81,0.74,0.56%,5742600
8/23/13,132.58,135.24,132.5,134.9,2.09,1.57%,11623300
8/26/13,134.88,135.6,134.15,135.45,0.55,0.41%,7692000
8/27/13,136.94,137.55,136.52,136.75,1.3,0.96%,11283200
8/28/13,137.21,137.46,136.66,136.71,-0.04,-0.03%,13652100
8/29/13,136.12,136.55,135.42,135.87,-0.84,-0.61%,7943100
8/30/13,134.65,135.71,134.44,134.62,-1.25,-0.92%,7689400
9/3/13,135.46,136.79,135.03,136.42,1.8,1.34%,8101500
9/4/13,134.61,134.84,133.72,134.66,-1.76,-1.29%,7789100
9/5/13,134.2,134.35,131.8,132.2,-2.46,-1.83%,11126200
9/6/13,133.42,134.4,133.33,134.15,1.95,1.48%,8449100
9/9/13,134.13,134.32,133.67,133.91,-0.24,-0.18%,5090400
9/10/13,131.82,132,131.11,131.74,-2.17,-1.62%,8433000
9/11/13,131.58,131.81,131.26,131.7,-0.04,-0.03%,5049900
9/12/13,128.62,128.78,127.61,127.67,-4.03,-3.06%,12943900
9/13/13,127.16,127.96,126.21,127.82,0.15,0.12%,12060300
9/16/13,127.48,128.02,126.34,126.45,-1.37,-1.07%,9987600
9/17/13,126.81,126.99,126.11,126.5,0.05,0.04%,8135400
9/18/13,125.32,132.16,125.15,132.01,5.51,4.36%,24825300
9/19/13,132,132.78,131.22,131.75,-0.26,-0.20%,14353800
9/20/13,130.6,130.91,127.9,127.96,-3.79,-2.88%,19558100
9/23/13,127.52,128.44,127.33,127.55,-0.41,-0.32%,7425600
9/24/13,126.4,128.21,126.34,127.66,0.11,0.09%,7350100
9/25/13,127.55,129.21,127.52,128.79,1.13,0.89%,7519000
9/26/13,128.61,128.99,127.32,127.79,-1,-0.78%,9492800
9/27/13,128.86,129.58,128.84,128.97,1.18,0.92%,7454100
9/30/13,127.95,129.14,127.7,128.18,-0.79,-0.61%,8982400
10/1/13,125.25,125.26,123.81,124.59,-3.59,-2.80%,16721100
